rank,clan_name,leader_name,damage_day1,damage_day2,damage_day3,damage_day4,damage_day5
64,"""三刀出完睡饱饱""","""收人90829012""",353241909,393866268,414029499,440082297,441762594
65,"""阵列猫""","""千夏再次上班""",355710263,394626329,417582413,446245065,425576796
66,"""圣剑""","""晗中歌""",335457259,395537175,422950040,440912733,439393605
67,"""幻想次元（收人看简介""","""欧~力给""",349895419,389515517,412709682,436383378,442787907
68,"""幽水雅阁""","""追 梦 达 人^py""",344306682,400574393,400669822,439770828,445450737
69,"""希希公主幼儿园""","""公主希露薇""",344868525,378603048,410149297,449995805,446998764
70,"""QAQ盛夏泳装会""","""鱿鱼丝""",345290833,385701349,424346221,429072165,444979164
71,"""Kreator""","""伊莉雅丝菲尔""",349578576,392967497,414493237,432424752,438595998
72,"""初音MIKU小幸运""","""Zlonix""",344549939,393381368,433344980,423796452,425997552
73,"""风色幻想""","""辉pyX""",340988722,375918029,422516517,442331304,435745674
74,"""潮鸣""","""记星""",352941494,387583741,401994165,439774875,431928129
75,"""喵喵""","""简自在乄""",350043834,388946393,407741857,431188011,433585725
76,"""QAQ清梦星河""","""嗷嗷嗷""",342900203,382628082,404892097,440271645,439932153
77,"""琉夏""","""犹汐""",347258766,392864363,413457070,420864207,431743686
78,"""纳萨里克大坟墓""","""莫莫伽*""",345734082,383154528,401860810,447999419,417911151
79,"""炸骗团伙""","""中野四叶i群简介""",332154623,373700065,400379319,450394305,439353998
80,"""圣骑士团""","""PAL.毛裤""",347135045,390502371,422744779,420345537,413651553
81,"""龙骑兵团征兵""","""衣黑行会收人（简介）""",349768128,370891753,404679981,441602005,423542105
82,"""悠水小筑""","""无路赛i""",350574787,390221758,396425775,421119407,429412533
83,"""蜗仙居""","""小仓鼠黄瓜瓜  群i""",345036789,384112461,402177580,439373303,414079759
84,"""小小牢狱""","""泡泡茶壶""",346006870,382868023,407247649,420453418,425356690
85,"""圣骑士团""","""PAL.灵魂的救赎""",323203647,378706633,416299247,421324655,432319985
86,"""无忧茶馆""","""ashen""",349682356,400069758,384576246,446114660,389773582
87,"""蜗仙斋""","""萌萌一号""",333866211,354365027,404071992,430199010,444834367
88,"""寻芳阁""","""惠穿连衣裙的青衣""",333462401,374506899,398017107,425239950,422512733
89,"""蜗仙宗（蜗仙四会）""","""爪巴鱼（黄金矿工）""",333456752,362442782,392556231,414025837,443720688
90,"""皇家巡游""","""意如梦""",330883370,374522780,387172267,419900173,427702586
91,"""学生会""","""花沫沫(工会招人)""",326495428,386113588,363407318,427732294,431773184
92,"""游戏宅""","""小春""",328600003,375203237,375925824,421217676,426286550
93,"""公主的顶点""","""本亚""",325444000,381254816,408157374,414162122,387710546
94,"""洗浴二会""","""HL丶乄""",340680933,386413552,393457640,404778530,389571123
95,"""QAQ夜行灯明""","""咸鱼肝i""",334621472,373549620,368342610,419686298,417137616
96,"""惨遭背刺零零碎碎公会""","""云间空流乄""",335606469,382821137,381114136,406341240,407031034
97,"""幻想乡""","""夜雨春声""",337600854,370682770,412095593,380173987,406840851
98,"""梦幻联动""","""折木奉太郎""",311446456,372864840,399866921,400637677,419345748
99,"""一肚子坏水""","""Daya""",329666928,378607716,358314772,399840534,435855291
100,"""风域""","""男妈i""",308944626,365068464,399343150,408572880,415260318
101,"""公会之家""","""盐酥鸡腿菇i""",327013192,366532392,372293320,420763768,410302549
102,"""京都养老院（招人）""","""漪宝""",333520247,379912959,393998949,381082407,407494553
103,"""牧野行歌""","""逍遥""",343300683,369947227,369327176,405478980,407013379
104,"""蜗仙苑""","""仔仔""",327824865,374049931,376301956,384019712,429135339
105,"""贰货乐园""","""贰货兔子""",337524435,355125739,376560022,399803399,411949932
106,"""妖猫之宿""","""风之痕""",324196263,372900435,370301088,404182606,408340020
107,"""复活社""","""骄阳赤妖 FH""",341412051,357075033,374129992,405042924,397722348
108,"""来点正常出刀活人加群""","""Hunter（在裙i""",321773354,374810774,375656798,404111368,391736928
109,"""樱落""","""寻梦忆 pyq""",294515582,379730896,375074053,419775960,398669805
110,"""秋之枫叶红""","""GoldGunner""",326528012,359003608,420160160,365306708,394358817
111,"""龙宝随缘冲前50招人""","""迷路镇的库露宓""",304271934,366058672,342724575,436346046,398162745
112,"""幻想乡""","""誓言""",304911342,360548541,364703281,396895353,418345818
113,"""缘念花""","""缘份""",337973144,372493620,336140651,408242142,386694793
114,"""Darling""","""雪雉""",323418199,380509925,384049361,374151788,374209249
115,"""邦邦[sup]甜花组""","""快乐断手器""",309332318,364806754,377296213,384572778,400196937
116,"""美食殿堂""","""玩世不恭""",309740550,343946903,375124271,390536988,405964890
117,"""python培训班""","""维吉尔X""",314083688,384496772,367891132,360756608,392788440
118,"""招高练度成员""","""近宗""",321909289,353648803,372944174,394972353,375007828
119,"""泠鸢尾几度花""","""冰小蓝""",326215948,345122404,331771724,401853404,408278865
120,"""泪雨梨花后援团（招人""","""碎钻回刺原路打回""",313764822,346535118,373426579,379760411,397621325
121,"""圣盟（招人缺一）""","""浪花""",323788278,342544422,367735327,388027683,385179492
122,"""仓鼠的小窝""","""哈罗德""",324084030,365108920,362808438,369988622,384695107
123,"""早出刀早下班""","""阿巴阿巴""",325270298,346945799,365736969,378748324,388612115
124,"""鱼仔仔""","""大懒虫""",327359853,355039749,346287367,385222748,385797888
125,"""闲鱼""","""乃鱼""",313168736,350468161,361432477,379575886,383962664
126,"""洛洛洛我爱薯片哈""","""四缕""",315083688,356244046,340396398,388707290,376052308
127,"""彼岸茶会之花""","""doki君""",308866774,353195550,352302828,394504190,367346920
128,"""月球炼铜乐团""","""磷叶""",320771591,355787137,333251758,374587681,390371207
129,"""一个小家""","""星净树""",319049770,360537408,370491192,370818652,353191666
130,"""神之领域""","""骑士君乄""",323555263,351972765,347527710,379160592,371353122
131,"""QAQ茶会""","""纯爱战神""",319690699,356180743,340237499,380833151,372447518
132,"""82年的拉菲""","""圆圆的圈圈^（群）""",313990616,346783624,352576069,376728043,377515050
133,"""迷迭迷迭paryi桑""","""FLxs风铃星誓 简""",316855160,329914335,355555931,370213201,393224382
134,"""hxd一起冲""","""a8""",319476798,358077272,334834541,361958496,387432439
135,"""备战下期75万以上来""","""阿波罗""",304761262,345021588,345885993,377798654,380250188
136,"""星之愿招人中""","""k-on.F""",303476748,348723252,362151778,337943872,392571693
137,"""咕咕咕之家""","""物述""",299514916,347794111,361859321,346110700,386361618
138,"""四月你的谎言""","""杰瑞克斯（招人）""",279697392,340180958,346335767,386630847,383568418
139,"""九州""","""bbb""",309920506,339124990,326431216,367967612,379121829
140,"""榴莲酱同学后援会""","""咖啡K""",302737012,312030064,357200071,377125283,373035642
141,"""咸鱼想翻身""","""蓝色水瓶 （简介）""",312837956,332210899,346453450,360182947,359019267
142,"""编号9527""","""缘之空""",300871762,332283265,356910935,344034952,372864233
143,"""梦之阁""","""阳光菇""",309749928,343528344,329977368,349171688,371107564
144,"""天园""","""小小公子""",292075716,309870122,323916954,346444055,360096163
145,"""暖暖的铁匠铺""","""大锤80""",293325230,333637993,330431014,326653885,322692565
146,"""结萌社(招新）""","""塔其米（写i^没马）""",296611858,323077830,321721734,348511615,313467295
147,"""久辞""","""菌菌""",278813122,312506988,329076482,331186553,343877602
148,"""摇曳的理想乡""","""水中肥鸭""",300708204,310918156,297663826,345579251,329036960
149,"""虚印证章""","""黑本琦夜""",273703310,308341442,306680780,335381956,344822495
150,"""亚城木梦叶""","""坂井优衣碳""",281355380,307997714,301666432,314585768,330271861
151,"""名人堂（还要招2人）""","""古守家今天的饭""",263822025,306865336,304296045,319145171,330807818
152,"""天井""","""老子才是真佑树""",255644166,304404823,303367786,304850488,328535653
153,"""七冠""","""柊镜X""",275320294,303692376,292776220,301212994,303492574
154,"""凯露农场""","""迷雾精灵""",284408994,308526552,284398700,298877524,289651819
155,"""欧皇（会战刀刀烈火）""","""亚丝娜""",256058783,287260908,280110790,303506869,320080035
156,"""咲恋救济院""","""杰""",243458112,296546100,288545116,296210864,309447454
157,"""养乐多""","""乐多""",260536233,278100775,287393373,304085139,301779204
158,"""连结专业团队DLM""","""梦境""",267146364,304261134,285593248,289450901,283581919
159,"""猎牛人家族""","""宇九黎""",278815418,288844255,277466165,300164863,284316835
160,"""纳萨力克大坟墓""","""偶多多""",269739826,283794399,296091496,297467254,275872330
161,"""格雷姆林魔法结社""","""sky""",242076925,302517778,284413756,297959628,294306025
162,"""妄想症（养老招人）""","""鹿畔""",268278771,284468413,296579899,295111573,251681819
163,"""猫猫头""","""良佘""",288015330,274112660,258988832,305413310,267895075
164,"""兰德索尔图书馆""","""好好先生""",263187034,286842789,273848276,291440728,275343730
165,"""异域骑士团""","""迪亚布罗""",244554496,281540727,283197169,274756823,298030702
166,"""香雪兰@传说""","""请叫我小基，别误伤""",247616605,300921970,268654832,280677863,273572542
167,"""夏恋""","""淡雪""",255192613,252053385,276198958,285211730,285038742
168,"""猫又小粥饭团屋""","""佑树桐人""",262611199,289210567,261369332,288382239,251607263
169,"""Naruto""","""Hinata""",233791343,267955329,259661709,278615291,284460769
170,"""梅兰竹菊收人收副会""","""屑魔女""",240446249,258201603,280800670,262633318,278421361
171,"""地狱之歌""","""莉莉安娜""",240210050,254721834,284435862,256348289,284047048
172,"""神魂灵域""","""我很乖巧的呢""",242339342,278096987,272192109,265720398,249317653
173,"""超大的芝士力量""","""病入高黄""",250564728,280307415,258580263,247298029,251690425
174,"""佩可莉姆应援团""","""艾丝华伦斯坦""",251273986,256235014,259304691,273013301,246268978
175,"""某科学的行会""","""一方通行""",225414513,261209497,255539074,268420445,272174224
176,"""兰德索尔之翼""","""浅川途""",240933419,269114241,246720381,272834585,248372266
177,"""angel""","""波动你心""",246150289,267717879,235404313,253776629,267846700
178,"""非酋玩家行会""","""咸鱼  """,219687435,255756953,247110846,253076236,280721355
179,"""萝莉培育研究基地""","""十六夜云天泪""",217265958,256245077,249274607,260249838,265113547
180,"""云上挽歌""","""niji""",243295374,253165724,265145492,241675275,242754135
181,"""晨曦养老院""","""铜矿佬""",238814434,244338404,276418557,239859385,234398337
182,"""c5用法刀发群里了""","""雪蓝星pjcc挖不动""",215590740,257917166,263615766,245812758,240083610
183,"""历代传说被猪拱""","""我是猪（看简介）""",214946946,259871992,254585170,239675964,253268280
184,"""白金""","""三玖""",239771633,259416801,240546192,254019001,222652603
185,"""塔罗会（招人）""","""愚者""",231754236,250206342,249680806,258253526,224807008
186,"""星辰阁""","""小雨""",226653304,253306296,237555615,255871765,230690904
187,"""咸鱼行会""","""忘却来时路""",208626946,257901386,246039774,242892164,246793096
188,"""QAQ巴别塔攻略组""","""绝对零度""",227369834,250300136,245196313,242495479,219259272
189,"""修仙姬""","""111我也住""",211900797,239376486,237622079,241376938,242263494
190,"""护天的圣枪""","""爺""",207845535,231564264,242858685,232470812,252829555
192,"""夏天的味道""","""夜雨""",223026034,242872590,235428596,226444506,224448630
193,"""迦勒底亚斯""","""EMT""",213880644,240720761,228883077,246630332,213879047
195,"""耗子的后宫""","""耗子""",218904149,231778616,224782867,219692958,240851735
196,"""米奇妙妙屋""","""一朵小花""",210228514,240220699,225469235,223701488,233356516
197,"""龙樱御林翼""","""宇佐见 捷""",231224658,251932926,231020211,227526330,191268805
