rank,clan_name,leader_name,damage_avg_day1,damage_avg_day2,damage_avg_day3,damage_avg_day4
46,"""大枫树""","""夏天i""",365.43w,324.08w,347.29w,339.65w
47,"""獨行天下""","""腹黑的兔子""",350.1w,328.02w,354.2w,338.47w
48,"""喵喵连结（猫猫二会）""","""wk116春田""",349.25w,328.25w,347.19w,336.84w
49,"""红魔馆""","""驱纹戒斗""",336.77w,331.42w,349.88w,330.26w
50,"""幽水雅阁""","""追 梦 达 人^t""",341.71w,322.01w,351.74w,332.55w
51,"""蜗仙居""","""小仓鼠黄瓜瓜  群i""",352.65w,319.43w,343.12w,335.71w
52,"""凯露酱的小鱼塘""","""ssc""",351.19w,320.17w,345.05w,331.33w
53,"""阵列猫""","""Explosion""",332.1w,323.07w,355.31w,330.47w
54,"""真步公主护卫会""","""婷婷抱抱春妈乄""",351.36w,318.48w,348.4w,323.4w
55,"""纳萨里克大坟墓""","""^莫莫伽*""",329.23w,325.95w,359.07w,319.95w
56,"""放学后茶会""","""諾蓓兒""",349.02w,315.52w,348.27w,330.56w
57,"""某正义的巴别塔""","""欧皇""",344.25w,319.54w,350.17w,317.06w
58,"""爱吃华莱士""","""陌路""",342.88w,314.92w,351.85w,326.35w
59,"""Re:0""","""dio""",339.67w,320.37w,343.58w,331.71w
60,"""灬欧洲兔兔集结灬""","""兔兔灬亦九""",330.8w,321.78w,347.91w,327.07w
61,"""Freesia""","""梨衣""",333.64w,313.99w,351.73w,337.29w
62,"""QAQ盛夏泳装会""","""慕名而来～""",343.54w,312.38w,343.48w,339.78w
63,"""学园都市""","""王尼矛""",344.23w,315.08w,343.34w,333.48w
64,"""蜗仙斋""","""萌萌一号""",342.15w,320.96w,346.37w,312.46w
65,"""莱茵海盗团""","""风中吃西瓜""",339.65w,320.34w,339.37w,329.62w
66,"""风居住的街道""","""梦~三千""",331.12w,321.36w,341.03w,332.08w
67,"""初音MIKU小幸运""","""Zlonix""",332.37w,317.8w,338.38w,326.26w
68,"""圣剑""","""晗中歌""",344.18w,312.26w,330.6w,327.6w
69,"""风域(缺人)""","""九霄i""",321.65w,310.8w,343.72w,339.3w
70,"""来点正常出刀活人加群""","""笛羞A吾去拖他依 i""",317.29w,312.63w,334.52w,332.17w
71,"""缘念花""","""缘份""",322.05w,316.38w,336.46w,321.23w
72,"""兰德索尔最强炼铜厂""","""无路赛i^i""",334.22w,315.98w,328.45w,317.98w
73,"""幻想乡""","""夜雨春声""",334.46w,312.65w,333.54w,315.39w
74,"""幻想次元（收人看简介""","""欧~力给""",337.26w,307.02w,319.78w,330.37w
75,"""小小牢狱""","""泡泡茶壶t""",327.93w,312.75w,325.32w,326.29w
76,"""龙宝随缘冲前50招人""","""迷路镇的库露宓""",324.6w,301.57w,336.2w,323.91w
77,"""炸骗团伙""","""中野四叶i*群简介""",335.93w,316.75w,322.15w,315.25w
78,"""Darling""","""02""",334.77w,313.63w,315.01w,327.31w
79,"""风色幻想""","""辉XA""",326.41w,309.88w,317.79w,327.87w
80,"""京都养老院""","""漪宝""",329.55w,306.78w,327.27w,313.84w
81,"""游戏宅""","""小春""",323.11w,292.77w,328.08w,330.17w
82,"""复活社""","""骄阳赤妖FH乄""",317.78w,311.25w,327.15w,316.14w
83,"""喵喵""","""简自在乄""",321.5w,315.5w,320.89w,316.67w
84,"""QAQ茶会""","""浪越""",320.96w,301.68w,330.96w,312.26w
85,"""QAQ清梦星河""","""嗷嗷嗷""",317.73w,300.28w,327.63w,319.5w
86,"""秋之枫叶红""","""GoldGunner""",331.7w,300.15w,325.01w,308.04w
87,"""QAQ夜行灯明""","""咸鱼肝i""",330.06w,297.05w,318.37w,322.3w
88,"""Kreator""","""伊莉雅丝菲尔""",323.36w,304.79w,320.66w,312.27w
89,"""hxd一起冲""","""a8""",325.04w,298.78w,320.81w,315.34w
90,"""三刀出完睡饱饱""","""晴天俊朗""",326.77w,287.81w,327.13w,317.59w
91,"""惨遭背刺零零碎碎公会""","""云间空流 *乄 """,320.12w,296.03w,320.65w,315.29w
92,"""无忧茶馆""","""ashen""",305.05w,302.39w,315.75w,321.94w
93,"""美食殿堂""","""玩世不恭""",322.88w,310.32w,313.94w,294.85w
94,"""公主的顶点""","""本亚""",322.3w,296.25w,324.06w,300.19w
95,"""皇家巡游""","""意如梦""",311.09w,300.1w,312.65w,321.76w
96,"""圣骑士团""","""PAL.灵魂的救赎""",321.87w,303.52w,312.62w,303.15w
97,"""仓鼠的小窝""","""哈罗德""",328.0w,296.91w,308.0w,314.26w
98,"""寻芳阁""","""会气（团）（在双群）""",312.45w,295.92w,320.76w,308.57w
99,"""公会之家""","""盐酥鸡腿菇i """,322.51w,291.02w,308.93w,322.61w
100,"""洗浴二会""","""HL丶乄^""",319.0w,302.2w,306.74w,311.6w
101,"""鱼仔仔""","""大懒虫""",312.65w,282.86w,321.04w,317.97w
102,"""妖猫之宿""","""风之痕""",307.81w,294.07w,320.02w,308.2w
103,"""邦邦[sup]甜花组""","""快乐断手器""",308.72w,292.66w,318.29w,311.1w
104,"""泪雨梨花后援团（招人""","""碎钻回刺原路打回乄""",309.65w,309.92w,304.38w,307.07w
105,"""一个小家""","""星净树""",315.98w,291.91w,307.78w,315.87w
106,"""月球炼铜乐团""","""磷叶""",317.78w,307.56w,301.96w,305.66w
107,"""龙骑兵团征兵""","""*行会收人*在挖""",302.13w,292.67w,321.46w,304.83w
108,"""希希公主幼儿园""","""公主希露薇""",306.48w,287.8w,317.24w,315.04w
109,"""迷迭迷迭paryi桑""","""FLxs风铃星誓 简""",308.89w,297.05w,307.35w,315.01w
110,"""琉夏""","""犹汐""",317.55w,283.75w,317.15w,309.27w
111,"""早出刀早下班""","""阿巴阿巴""",302.0w,293.4w,313.23w,314.54w
112,"""牧野行歌""","""逍遥""",317.54w,305.51w,306.18w,297.4w
113,"""排百公会招熟练工""","""阿波罗""",307.05w,299.26w,302.38w,315.67w
114,"""久辞""","""菌菌""",312.42w,297.6w,304.51w,310.57w
115,"""幻想乡""","""誓言""",310.67w,280.48w,315.32w,316.53w
116,"""榴莲酱同学后援会""","""咖啡K""",289.88w,299.39w,317.89w,300.59w
117,"""闲鱼""","""乃鱼""",315.81w,301.59w,296.76w,306.0w
118,"""圣骑士二团""","""PAL.毛裤""",306.66w,299.98w,305.89w,297.58w
119,"""平行天堂""","""井出来了......""",300.32w,290.69w,309.72w,301.75w
120,"""一肚子坏水""","""Daya（挖矿中）""",296.9w,282.98w,313.75w,305.77w
121,"""樱落""","""寻梦忆 pyq""",300.94w,278.21w,316.64w,303.5w
122,"""会长今晚女装""","""折木奉太郎""",295.53w,291.33w,312.14w,298.98w
123,"""贰货乐园""","""贰货兔子""",299.62w,291.79w,308.57w,298.99w
124,"""天园""","""小小公子""",313.48w,285.16w,307.73w,298.25w
125,"""蜗仙宗（蜗仙四会）""","""爪巴鱼（黄金矿工）""",292.77w,270.59w,311.89w,308.41w
126,"""晨曦""","""星尘 离一i""",285.36w,296.72w,305.16w,296.1w
127,"""泠鸢尾几度花""","""冰小蓝""",289.67w,275.11w,307.35w,307.42w
128,"""咕咕咕之家""","""物述""",290.47w,292.17w,292.02w,311.31w
129,"""四月你的谎言（招人）""","""杰瑞克斯（招人）""",293.37w,277.35w,304.34w,306.95w
130,"""星之愿招人中""","""k-on.F""",299.08w,288.88w,284.36w,302.8w
131,"""潮鸣""","""记星""",295.55w,263.63w,294.95w,310.67w
132,"""python培训班""","""维吉尔X""",275.68w,286.36w,297.48w,288.89w
133,"""樱花树""","""Revolver丶""",288.89w,278.07w,285.42w,298.18w
134,"""暖暖的铁匠铺""","""新任会长鱿鱼大人""",300.88w,277.24w,282.56w,293.62w
135,"""洛洛洛我爱薯片哈""","""四缕""",288.33w,281.95w,280.07w,299.3w
136,"""神之领域""","""骑士君乄""",280.63w,278.67w,281.4w,295.87w
137,"""圣盟（招人缺二）""","""浪花""",273.3w,267.66w,289.41w,300.62w
138,"""彼岸茶会之花""","""熊猫-""",292.95w,257.96w,286.79w,286.04w
139,"""编号9527""","""缘之空""",296.22w,270.85w,255.48w,294.89w
140,"""虚印证章""","""黑本琦夜""",285.38w,254.53w,297.17w,276.27w
141,"""学生会""","""花沫沫(工会招人)""",215.31w,298.41w,289.67w,285.74w
142,"""82年的拉菲""","""圆圆的圈圈^乄A""",263.8w,264.84w,273.29w,291.32w
143,"""想唱的叙事诗""","""坂井优衣碳""",266.15w,256.93w,260.35w,306.44w
144,"""摇曳的理想乡""","""水中肥鸭""",286.72w,244.66w,259.67w,259.3w
145,"""格雷姆林魔法结社""","""sky""",265.88w,248.5w,262.16w,274.67w
146,"""梦之阁""","""阳光菇""",273.88w,253.3w,269.46w,255.5w
147,"""猫猫头""","""良佘""",268.3w,242.4w,253.96w,267.24w
148,"""连结专业团队DLM""","""梦境""",266.57w,252.56w,249.38w,251.24w
149,"""小枫树""","""爱新觉罗丶TING""",267.67w,243.85w,240.69w,255.48w
150,"""猎牛人家族""","""宇九黎""",265.27w,252.27w,239.06w,250.13w
151,"""星空列车与白的旅行""","""夜羽真白""",257.26w,233.88w,244.3w,257.01w
152,"""天井""","""老子才是真佑树""",246.56w,235.62w,237.07w,253.67w
153,"""大大牢饭""","""雪蓝星pjcc挖不动""",247.16w,257.39w,228.14w,238.11w
154,"""咲恋救济院""","""杰""",247.03w,231.79w,238.09w,241.02w
155,"""异域骑士团""","""迪亚布罗""",232.47w,236.81w,237.32w,236.98w
156,"""纳萨力克大坟墓""","""偶多多""",252.17w,219.74w,238.79w,227.87w
157,"""佩可莉姆应援团""","""艾丝华伦斯坦""",248.44w,235.28w,230.31w,213.17w
158,"""欧皇（会战刀刀烈火）""","""亚丝娜""",239.95w,228.94w,209.3w,247.59w
159,"""七冠""","""柊镜X^""",238.53w,223.24w,222.41w,236.01w
160,"""凯露农场""","""迷雾精灵""",241.54w,228.99w,211.97w,230.09w
161,"""九州""","""bbb""",243.8w,220.44w,216.32w,229.11w
162,"""历代传说被猪拱""","""我是猪（看简介）""",228.05w,230.5w,223.81w,219.86w
163,"""妄想症（养老招人）""","""鹿畔""",249.85w,223.92w,202.77w,219.03w
164,"""Naruto""","""Hinata""",235.33w,221.05w,231.94w,200.27w
165,"""塔罗会（招人）""","""愚者""",229.08w,206.64w,216.08w,226.42w
166,"""结萌社(招新）""","""塔其米""",234.71w,207.83w,222.83w,201.71w
167,"""超大的芝士力量""","""病入高黄""",224.34w,192.46w,220.82w,221.89w
168,"""白金""","""三玖""",233.19w,219.47w,205.84w,196.68w
169,"""兰德索尔之翼""","""浅川途""",227.29w,211.87w,190.56w,209.14w
170,"""神魂灵域""","""我很乖巧的呢""",234.01w,190.55w,211.19w,202.39w
171,"""星辰阁""","""小雨""",234.55w,202.13w,200.39w,191.07w
172,"""地狱之歌""","""莉莉安娜""",212.96w,194.66w,214.05w,208.77w
173,"""天痕凛冽斩（招大佬）""","""（招大佬）""",229.92w,199.96w,197.45w,195.1w
174,"""angel""","""波动你心""",212.34w,196.88w,222.99w,187.41w
175,"""星月颜桃""","""星雨""",216.5w,206.1w,195.13w,197.31w
176,"""Euphoria""","""四季夏目""",213.49w,200.72w,226.44w,171.4w
177,"""客官请留步""","""极乐净土""",213.89w,198.11w,199.84w,203.01w
178,"""香雪兰@传说""","""请叫我小基，别误伤""",231.31w,220.11w,191.55w,163.3w
179,"""天涯明月""","""明月-寒竹""",205.28w,193.4w,190.03w,216.26w
180,"""养老组""","""灯""",219.53w,188.06w,188.23w,200.56w
181,"""放养行会""","""后宫众多的现充骑士""",218.68w,196.65w,185.74w,194.26w
182,"""星灯清火""","""涩体源流""",226.91w,193.58w,181.53w,190.93w
183,"""萝莉培育研究基地""","""十六夜云天泪""",214.85w,200.83w,197.2w,181.94w
184,"""咸鱼行会""","""忘却来时路""",210.49w,184.93w,193.26w,205.16w
185,"""兰德索尔图书馆""","""好好先生""",215.54w,198.21w,205.59w,165.94w
186,"""纸片人老婆""","""筱""",204.47w,191.32w,191.53w,177.41w
187,"""名人堂（还要招4人）""","""古守家今天的饭""",226.67w,203.3w,163.31w,161.31w
188,"""花开伊吕波""","""咸鱼""",199.57w,194.66w,183.55w,179.13w
189,"""天启前150会长女装""","""雪""",208.96w,189.75w,178.66w,178.5w
190,"""欧盟""","""一脸茫然""",209.39w,187.61w,194.48w,161.19w
191,"""大枫树""","""稽精""",202.73w,184.04w,184.03w,179.32w
193,"""银狼""","""昔曰A""",213.6w,169.45w,183.53w,175.27w
194,"""QAQ巴别塔攻略组""","""绝对零度""",202.15w,173.61w,188.29w,168.43w
195,"""养乐多""","""乐多""",206.4w,163.81w,181.97w,172.08w
196,"""耗子的后宫""","""耗子""",202.36w,182.09w,168.16w,172.71w
197,"""修仙姬""","""111我也住""",207.3w,174.18w,173.88w,168.36w
